Index|Question|SQL Query
19|Which pay groups are not marked as 'Full Time'?|SELECT * FROM paygroup WHERE pay_group_name <> 'Full Time';
20|What is the average length of the pay group names in the table?|SELECT AVG(LENGTH(pay_group_name)) AS average_pay_group_name_length FROM paygroup;
21|How many pay groups have a remote ID that is an even number?|SELECT COUNT(*) AS even_remote_id_pay_groups FROM paygroup WHERE remote_id % 2 = 0;
22|What is the maximum length of the pay group names in the table?|SELECT MAX(LENGTH(pay_group_name)) AS max_pay_group_name_length FROM paygroup;
23|Which pay groups have a remote ID less than 50000000 or a pay group name starting with 'C'?|SELECT * FROM paygroup WHERE remote_id < 50000000 OR pay_group_name LIKE 'C%';
24|How many pay groups are marked as 'Contractor' and have a remote ID greater than 80000000?|SELECT COUNT(*) AS contractor_with_high_remote_id FROM paygroup WHERE pay_group_name = 'Contractor' AND remote_id > 80000000;
25|What are the pay groups with IDs that contain the substring '553'?|SELECT * FROM paygroup WHERE id LIKE '%553%';
26|How many pay groups have 'Temp' in the pay group name and FALSE in the 'remote_was_deleted' column?|SELECT COUNT(*) AS temp_pay_groups_not_deleted FROM paygroup WHERE pay_group_name = 'Temp' AND remote_was_deleted = FALSE;
27|What is the average remote ID among the pay groups marked as 'Full Time' and have been deleted remotely?|SELECT AVG(remote_id) AS avg_remote_id_full_time_deleted FROM paygroup WHERE pay_group_name = 'Full Time' AND remote_was_deleted = TRUE;
28|Which pay groups have a remote ID between 60000000 and 70000000, and the pay group name contains the word 'Time'?|SELECT * FROM paygroup WHERE remote_id BETWEEN 60000000 AND 70000000 AND pay_group_name LIKE '%Time%';
29|What is the minimum length of the pay group names in the table?|SELECT MIN(LENGTH(pay_group_name)) AS min_pay_group_name_length FROM paygroup;
30|Which pay groups are marked as 'Temp' and have a remote ID not equal to 81443812?|SELECT * FROM paygroup WHERE pay_group_name = 'Temp' AND remote_id <> 81443812;
31|What are the pay groups with IDs that have the substring 'f12d' and have been deleted remotely?|SELECT * FROM paygroup WHERE id LIKE '%f12d%' AND remote_was_deleted = TRUE;
32|How many pay groups have a remote ID greater than 90000000 and the pay group name containing the word 'Contractor'?|SELECT COUNT(*) AS high_remote_id_contractor_pay_groups FROM paygroup WHERE remote_id > 90000000 AND pay_group_name LIKE '%Contractor%';
33|What is the average length of the pay group names for the pay groups marked as 'Temp'?|SELECT AVG(LENGTH(pay_group_name)) AS average_pay_group_name_length_temp FROM paygroup WHERE pay_group_name = 'Temp';
34|Which pay groups have a remote ID that is a multiple of 1000000?|SELECT * FROM paygroup WHERE remote_id % 1000000 = 0;
35|How many pay groups are marked as 'Full Time' and have a remote ID less than 20000000 or greater than 90000000?|SELECT COUNT(*) AS full_time_with_extreme_remote_id FROM paygroup WHERE pay_group_name = 'Full Time' AND (remote_id < 20000000 OR remote_id > 90000000);
36|What is the maximum length of the pay group IDs in the table?|SELECT MAX(LENGTH(id)) AS max_id_length FROM paygroup;
37|Which pay groups have a remote ID between 40000000 and 60000000 and the pay group name ending with 'r'?|SELECT * FROM paygroup WHERE remote_id BETWEEN 40000000 AND 60000000 AND pay_group_name LIKE '%r';
38|How many pay groups have a pay group name that starts with 'T' and ends with 'p'?|SELECT COUNT(*) AS pay_groups_starting_with_T_and_ending_with_p FROM paygroup WHERE pay_group_name LIKE 'T%p';
39|What are the pay groups with IDs that contain the substring '9bb7' and have a pay group name not equal to 'Contractor'?|SELECT * FROM paygroup WHERE id LIKE '%9bb7%' AND pay_group_name <> 'Contractor';
40|How many pay groups are marked as 'Temp' and have a remote ID that is an odd number?|SELECT COUNT(*) AS temp_pay_groups_with_odd_remote_id FROM paygroup WHERE pay_group_name = 'Temp' AND remote_id % 2 <> 0;
